"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"02/17/2017","1","I","35,905","7,395"
"02/17/2017","1","O","36,043","8,002"
"02/16/2017","1","I","33,463","6,235"
"02/16/2017","1","O","35,071","6,690"
"02/15/2017","1","I","32,837","6,276"
"02/15/2017","1","O","35,389","6,863"
"02/14/2017","1","I","32,113","6,207"
"02/14/2017","1","O","34,141","6,860"
"02/13/2017","1","I","30,401","6,149"
"02/13/2017","1","O","32,554","6,829"
"02/12/2017","1","I","21,665","6,802"
"02/12/2017","1","O","23,515","6,995"
"02/11/2017","1","I","27,652","8,271"
"02/11/2017","1","O","29,737","9,197"
"02/10/2017","1","I","31,288","6,467"
"02/10/2017","1","O","32,906","7,174"
"02/09/2017","1","I","11,877","2,424"
"02/09/2017","1","O","12,144","2,695"
"02/08/2017","1","I","33,228","6,369"
"02/08/2017","1","O","36,152","6,939"
"02/07/2017","1","I","27,238","5,242"
"02/07/2017","1","O","32,774","6,293"
"02/06/2017","1","I","31,003","6,518"
"02/06/2017","1","O","33,461","7,019"
"02/05/2017","1","I","23,847","7,507"
"02/05/2017","1","O","26,302","7,967"
"02/04/2017","1","I","28,832","8,359"
"02/04/2017","1","O","29,954","9,380"
"02/03/2017","1","I","34,249","7,282"
"02/03/2017","1","O","34,988","7,621"
"02/02/2017","1","I","31,475","6,247"
"02/02/2017","1","O","35,474","6,881"
"02/01/2017","1","I","31,701","6,116"
"02/01/2017","1","O","34,466","6,617"
"01/31/2017","1","I","29,908","5,764"
"01/31/2017","1","O","33,698","6,428"
"01/30/2017","1","I","30,113","6,319"
"01/30/2017","1","O","33,120","6,790"
"01/29/2017","1","I","25,433","7,982"
"01/29/2017","1","O","29,174","8,722"
"01/28/2017","1","I","28,655","8,589"
"01/28/2017","1","O","29,941","9,224"
"01/27/2017","1","I","34,102","7,429"
"01/27/2017","1","O","35,464","7,805"
"01/26/2017","1","I","32,119","6,526"
"01/26/2017","1","O","34,052","6,736"
"01/25/2017","1","I","32,059","6,464"
"01/25/2017","1","O","33,991","6,808"
"01/24/2017","1","I","29,099","5,718"
"01/24/2017","1","O","31,157","5,935"
"01/23/2017","1","I","28,365","5,845"
"01/23/2017","1","O","30,910","6,295"
"01/22/2017","1","I","23,432","7,369"
"01/22/2017","1","O","26,662","8,077"
"01/21/2017","1","I","28,424","8,843"
"01/21/2017","1","O","28,599","9,187"
"01/20/2017","1","I","33,538","7,124"
"01/20/2017","1","O","35,958","7,926"
"01/19/2017","1","I","32,764","6,485"
"01/19/2017","1","O","34,619","6,943"
"01/18/2017","1","I","31,318","5,995"
"01/18/2017","1","O","34,475","6,736"
"01/17/2017","1","I","31,363","6,072"
"01/17/2017","1","O","33,835","6,583"
"01/16/2017","1","I","28,009","6,719"
"01/16/2017","1","O","33,286","7,563"
"01/15/2017","1","I","24,804","7,750"
"01/15/2017","1","O","28,672","8,639"
"01/14/2017","1","I","28,111","8,214"
"01/14/2017","1","O","28,301","8,923"
"01/13/2017","1","I","34,187","7,612"
"01/13/2017","1","O","36,640","8,354"
"01/12/2017","1","I","32,363","6,828"
"01/12/2017","1","O","35,758","7,282"
"01/11/2017","1","I","31,630","6,327"
"01/11/2017","1","O","35,822","7,167"
"01/10/2017","1","I","30,844","6,131"
"01/10/2017","1","O","33,833","6,745"
"01/09/2017","1","I","29,421","6,321"
"01/09/2017","1","O","32,675","6,932"
"01/08/2017","1","I","21,857","6,762"
"01/08/2017","1","O","23,683","6,995"
"01/07/2017","1","I","20,234","6,359"
"01/07/2017","1","O","19,960","6,396"
"01/06/2017","1","I","31,693","7,063"
"01/06/2017","1","O","34,143","7,814"
"01/05/2017","1","I","31,753","6,790"
"01/05/2017","1","O","34,454","7,348"
"01/04/2017","1","I","30,794","6,592"
"01/04/2017","1","O","34,730","7,347"
"01/03/2017","1","I","28,879","6,205"
"01/03/2017","1","O","32,293","6,988"
"01/02/2017","1","I","21,339","6,502"
"01/02/2017","1","O","25,439","7,336"
"01/01/2017","1","I","25,455","9,266"
"01/01/2017","1","O","28,021","9,417"
"12/31/2016","1","I","25,126","9,206"
"12/31/2016","1","O","26,154","10,037"
"12/30/2016","1","I","31,948","8,405"
"12/30/2016","1","O","34,420","9,567"
"12/29/2016","1","I","29,543","7,325"
"12/29/2016","1","O","32,835","8,314"
"12/28/2016","1","I","32,831","7,869"
"12/28/2016","1","O","35,181","8,666"
"12/27/2016","1","I","30,417","7,637"
"12/27/2016","1","O","33,476","8,580"
"12/26/2016","1","I","24,249","7,483"
"12/26/2016","1","O","28,098","8,398"
"12/25/2016","1","I","25,723","9,422"
"12/25/2016","1","O","28,594","10,349"
"12/24/2016","1","I","27,624","9,588"
"12/24/2016","1","O","26,089","9,854"
"12/23/2016","1","I","33,265","8,586"
"12/23/2016","1","O","33,473","9,105"
"12/22/2016","1","I","35,541","7,927"
"12/22/2016","1","O","36,626","8,231"
"12/21/2016","1","I","34,936","7,382"
"12/21/2016","1","O","36,593","8,021"
"12/20/2016","1","I","33,020","7,435"
"12/20/2016","1","O","36,472","8,072"
"12/19/2016","1","I","32,752","7,488"
"12/19/2016","1","O","35,027","8,111"
"12/18/2016","1","I","26,443","8,905"
"12/18/2016","1","O","28,821","9,403"
"12/17/2016","1","I","24,510","7,761"
"12/17/2016","1","O","25,970","8,625"
"12/16/2016","1","I","35,452","8,039"
